CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
SOLDADO DE LA FRONTERA AV.,"4964",4964 SOLDADO DE LA FRONTERA AVE,-58.4655802,-34.6829348,"8",VILLA LUGANO,"145",V,"185",I,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"4978",4978 SOLDADO DE LA FRONTERA AVE,-58.4657369,-34.6827749,"8",VILLA LUGANO,"117",V,"47",V,"114",V,,,,,,
DE LOS CONSTITUYENTES AV.,"5789",5789 DE LOS CONSTITUYENTES AV.,-58.5027373,-34.5736224,"12",VILLA URQUIZA,"140",I,"111",I,"169",I,,,,,,
ANA DIAZ,"5792","5792 DIAZ, ANA",-58.4685712,-34.6830295,"8",VILLA LUGANO,"91",,"117",I,"185",V,,,,,,
ANA DIAZ,"5402","5402 DIAZ, ANA",-58.4658243,-34.6805222,"8",VILLA LUGANO,"150",V,,,,,,,,,,
DE LOS CONSTITUYENTES AV.,"5802",5802 DE LOS CONSTITUYENTES AV.,-58.5031395,-34.573509,"12",VILLA PUEYRREDON,"110",V,"111",V,,,,,,,,
CULLEN,"5895",5895 CULLEN,-58.497084,-34.5778753,"12",VILLA URQUIZA,"127",I,,,,,,,,,,
OLAZABAL AV.,"5532",5532 OLAZABAL AV.,-58.4909246,-34.5795159,"12",VILLA URQUIZA,"90",V,,,,,,,,,,
OLAZABAL AV.,"5522",5522 OLAZABAL AV.,-58.4907544,-34.5794171,"12",VILLA URQUIZA,"107",I,"114",V,,,,,,,,
OLAZABAL AV.,"5318",5318 OLAZABAL AV.,-58.4882737,-34.5779475,"12",VILLA URQUIZA,"114",V,"107",I,,,,,,,,
OLAZABAL AV.,"5314",5314 OLAZABAL AV.,-58.4882439,-34.5779305,"12",VILLA URQUIZA,"90",V,,,,,,,,,,
OLAZABAL AV.,"5124",5124 OLAZABAL AV.,-58.4861094,-34.5767007,"12",VILLA URQUIZA,"90",V,"114",V,,,,,,,,
OLAZABAL AV.,"4916",4916 OLAZABAL AV.,-58.4844738,-34.5757587,"12",VILLA URQUIZA,"90",V,,,,,,,,,,
OLAZABAL AV.,"4844",4844 OLAZABAL AV.,-58.4834233,-34.5751659,"12",VILLA URQUIZA,"114",V,"140",V,,,,,,,,
ALVAREZ THOMAS AV.,"2795",2795 ALVAREZ THOMAS AV.,-58.4795071,-34.5742689,"12",VILLA URQUIZA,"90",I,"140",I,"176",I,,,,,,
ALVAREZ THOMAS AV.,"2593",2593 ALVAREZ THOMAS AV.,-58.4772062,-34.5759453,"12",VILLA URQUIZA,"90",I,"140",I,"176",I,,,,,,
LUGONES,"2316",2316 LUGONES,-58.4787149,-34.5720813,"12",VILLA URQUIZA,"93",I,,,,,,,,,,
ALVAREZ THOMAS AV.,"2983",2983 ALVAREZ THOMAS AV.,-58.48123,-34.57278,"12",VILLA URQUIZA,"90",I,"176",I,,,,,,,,
ALVAREZ THOMAS AV.,"2991",2991 ALVAREZ THOMAS AV.,-58.4814345,-34.5728169,"12",VILLA URQUIZA,"140",I,,,,,,,,,,
