street,street number,complete address,long,lat,commune,neighborhood
ENTRE RIOS AV.,1260,1260 ENTRE RIOS AV.,-58.391347,-34.6236757,1,CONSTITUCION
ENTRE RIOS AV.,1250,1250 ENTRE RIOS AV.,-58.391358,-34.623396,1,CONSTITUCION
DEL LIBERTADOR AV.,8355,8345 DEL LIBERTADOR AV.,-58.46486,-34.53882,13,NUÑE
ENTRE RIOS AV.,1226,1226 ENTRE RIOS AV.,-58.3913725,-34.6230722,1,CONSTITUCION
PEPIRI,397,397 PEPIRI,-58.4093229,-34.6425557,4,PARQUE PATRICIOS
ENTRE RIOS AV.,1160,1160 ENTRE RIOS AV.,-58.3914222,-34.622178,1,CONSTITUCION
PEPIRI,215,215 PEPIRI,-58.4089934,-34.6405686,4,PARQUE PATRICIOS
ENTRE RIOS AV.,1048,1048 ENTRE RIOS AV.,-58.3914946,-34.6208766,1,CONSTITUCION
ENTRE RIOS AV.,1024,1024 ENTRE RIOS AVE,-58.391511,-34.620601,1,CONSTITUCION
DEL LIBERTADOR AV.,8310,8010 DEL LIBERTADOR AV.,-58.46467,-34.53971,13,NUÑE
ENTRE RIOS AV.,1002,1002 ENTRE RIOS AVE,-58.391522,-34.6203191,1,CONSTITUCION
ENTRE RIOS AV.,962,962 ENTRE RIOS AV.,-58.3915441,-34.6197686,1,CONSTITUCION
ENTRE RIOS AV.,940,940 ENTRE RIOS AV.,-58.3915528,-34.6195442,1,CONSTITUCION
ENTRE RIOS AV.,920,920 ENTRE RIOS AV.,-58.3915618,-34.6193132,1,CONSTITUCION
CASEROS AV.,3243,3243 CASEROS AV.,-58.4101205,-34.6378222,4,PARQUE PATRICIOS
DEL LIBERTADOR AV.,7811,7811 DEL LIBERTADOR AV.,-58.46209,-34.5425,13,NUÑE
ENTRE RIOS AV.,852,852 ENTRE RIOS AV.,-58.3915829,-34.618715,1,CONSTITUCION
CASEROS AV.,3277,3277 CASEROS AV.,-58.4106983,-34.6379236,4,PARQUE PATRICIOS
ENTRE RIOS AV.,820,820 ENTRE RIOS AV.,-58.3915912,-34.6184586,1,CONSTITUCION
CASEROS AV.,3285,3285 CASEROS AV.,-58.4109962,-34.6379722,4,PARQUE PATRICIOS
CASEROS AV.,3284,3284 CASEROS AV.,-58.4107331,-34.6380611,4,PARQUE PATRICIOS
ENTRE RIOS AV.,752,752 ENTRE RIOS AV.,-58.391593,-34.6177376,1,MONSERRAT
CASEROS AV.,3274,3274 CASEROS AV.,-58.4109088,-34.6381174,4,PARQUE PATRICIOS
ENTRE RIOS AV.,744,744 ENTRE RIOS AV.,-58.3915875,-34.6174133,1,MONSERRAT
ENTRE RIOS AV.,678,678 ENTRE RIOS AV.,-58.3915717,-34.6165513,1,MONSERRAT
ENTRE RIOS AV.,662,662 ENTRE RIOS AV.,-58.3915676,-34.6163127,1,MONSERRAT
ALMAFUERTE AV.,22,22 ALMAFUERTE AV.,-58.4113287,-34.6385827,4,PARQUE PATRICIOS
ALMAFUERTE AV.,24,24 ALMAFUERTE AV.,-58.4113904,-34.638582,4,PARQUE PATRICIOS
ENTRE RIOS AV.,640,640 ENTRE RIOS AV.,-58.3915636,-34.6160745,1,MONSERRAT
ENTRE RIOS AV.,578,578 ENTRE RIOS AV.,-58.3915621,-34.6155585,1,MONSERRAT
ENTRE RIOS AV.,542,542 ENTRE RIOS AV.,-58.3915673,-34.6153189,1,MONSERRAT
DEL LIBERTADOR AV.,7550,7550 DEL LIBERTADOR AV.,-58.46009,-34.54469,13,NUÑE
USPALLATA,3351,3351 USPALLATA,-58.41121265,-34.63960662,4,PARQUE PATRICIOS
ENTRE RIOS AV.,516,516 ENTRE RIOS AV.,-58.3915751,-34.6150415,1,MONSERRAT
USPALLATA,3330,3330 USPALLATA,-58.4103511,-34.6402155,4,PARQUE PATRICIOS
ENTRE RIOS AV.,478,478 ENTRE RIOS AV.,-58.3915907,-34.6146009,1,MONSERRAT
DEL LIBERTADOR AV.,7415,7415 DEL LIBERTADOR AV.,-58.45907,-34.54517,13,NUÑE
USPALLATA,3354,3354 USPALLATA,-58.4102588,-34.6401851,4,PARQUE PATRICIOS
ENTRE RIOS AV.,418,418 ENTRE RIOS AV.,-58.3916065,-34.6140353,1,MONSERRAT
ENTRE RIOS AV.,346,346 ENTRE RIOS AV.,-58.3916394,-34.6131777,1,MONSERRAT
ENTRE RIOS AV.,322,322 ENTRE RIOS AV.,-58.3916477,-34.6129634,1,MONSERRAT
ENTRE RIOS AV.,276,276 ENTRE RIOS AV.,-58.391673,-34.6122977,1,MONSERRAT
ENTRE RIOS AV.,230,230 ENTRE RIOS AV.,-58.3916835,-34.6118674,1,MONSERRAT
ALMAFUERTE AV.,406,406 ALMAFUERTE AVE,-58.4130914,-34.6429123,4,PARQUE PATRICIOS
ALMAFUERTE AV.,408,408 ALMAFUERTE AVE,-58.4131482,-34.6430405,4,PARQUE PATRICIOS
ENTRE RIOS AV.,80,80 ENTRE RIOS AV.,-58.3917929,-34.610148,1,MONSERRAT
ALMAFUERTE AV.,410,410 ALMAFUERTE AV.,-58.4130718,-34.6428644,4,PARQUE PATRICIOS
ENTRE RIOS AV.,70,70 ENTRE RIOS AV.,-58.3917998,-34.610054,1,MONSERRAT
ALMAFUERTE AV.,412,412 ALMAFUERTE AV.,-58.4130742,-34.64287,4,PARQUE PATRICIOS
ENTRE RIOS AV.,40,40 ENTRE RIOS AV.,-58.3917675,-34.609958,1,MONSERRAT
SOLIS,61,61 SOLIS,-58.3914999,-34.6099645,1,MONSERRAT
SOLIS,175,175 SOLIS,-58.3904281,-34.6110911,1,MONSERRAT
DR. PROF. PEDRO CHUTRO,3475,"3475 CHUTRO, PEDRO, PROF., DR.",-58.4127792,-34.6426061,4,PARQUE PATRICIOS
DEL LIBERTADOR AV.,7050,7050 DEL LIBERTADOR AV.,-58.45621,-34.54779,13,NUÑE
MARTIN GARCIA,583,"583 GARCIA, MARTIN AV.",-58.3724949,-34.6312495,4,BARRACAS
MARTIN GARCIA,422,"422 GARCIA, MARTIN AV.",-58.3710254,-34.6299848,4,BARRACAS
MARTIN GARCIA,420,"420 GARCIA, MARTIN AV.",-58.3710124,-34.6299718,4,BARRACAS
MARTIN GARCIA,410,"410 GARCIA, MARTIN AV.",-58.3709469,-34.6299064,4,BARRACAS
CASEROS AV.,751,751 CASEROS AV.,-58.3750302,-34.6269339,1,SAN TELMO
CASEROS AV.,795,795 CASEROS AV.,-58.3754837,-34.6271589,1,SAN TELMO
CASEROS AV.,856,856 CASEROS AV.,-58.3762632,-34.6277737,4,BARRACAS
CASEROS AV.,824,824 CASEROS AV.,-58.3758805,-34.6275649,4,BARRACAS
CASEROS AV.,528,528 CASEROS AV.,-58.3729419,-34.6268362,4,BARRACAS
CASEROS AV.,514,514 CASEROS AV.,-58.3728442,-34.6268355,4,BARRACAS
SOLIS,363,363 SOLIS,-58.3904122,-34.6132717,1,MONSERRAT
SOLIS,375,375 SOLIS,-58.3904126,-34.6133653,1,MONSERRAT
MONTEAGUDO,216,216 MONTEAGUDO,-58.4050335,-34.6398831,4,PARQUE PATRICIOS
GUILLERMO UDAONDO AV.,1350,"1350 UDAONDO, GUILLERMO AV.",-58.4532067,-34.5478757,13,BELGRANO
SOLIS,579,579 SOLIS,-58.3904296,-34.6154081,1,MONSERRAT
MONTEAGUDO,208,208 MONTEAGUDO,-58.4050644,-34.6397358,4,PARQUE PATRICIOS
